,Unnamed: 0,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Reference,Tag
0,442,Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCOC(C)=O,442.0,469.0,,0.014,,doi:10.1016/j.dyepig.2008.12.009,443
1,430,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CCCCOCCCC,442.0,477.0,,0.46,,doi:10.1016/j.dyepig.2008.12.009,431
2,358,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,C1CCOC1,443.0,,,0.0,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,359
3,158,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,437.0,491.0,,0.52,4.06069784,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",159
4,501,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c7c(cccc57)C(=O)N(CCCCCC)C6=O)s4)ccc(c23)C1=O,ClC(Cl)Cl,395.0,495.0,0.014276342,0.15,4.344,http://dx.doi.org/10.1016/j.dyepig.2012.07.018,502
5,437,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,C1COCCO1,443.0,478.0,,0.51,,doi:10.1016/j.dyepig.2008.12.009,438
6,405,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(=O)C(C)(C)C,505.0,517.0,,0.69,,https://doi.org/10.1016/j.dyepig.2019.01.019,406
7,491,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,OCC(F)(F)F,509.0,553.0,150.7,0.28,,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,492
8,420,C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CC#N,396.0,534.0,1.82,0.16,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,421
9,118,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,591.0,2.6,0.78,4.763427994,https://doi.org/10.1016/j.dyepig.2018.02.016,119
10,276,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,C1CCCCC1,,,2.76,0.49,,https://doi.org/10.1016/S0009-2614(02)00784-4,277
11,477,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,Cc1ccccc1,527.0,603.0,4.41,0.16,4.562292864,doi:10.1016/j.dyepig.2011.05.004,478
12,147,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437.0,490.0,,0.93,4.004321374,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",148
13,403,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC#N,501.0,513.0,,0.55,,https://doi.org/10.1016/j.dyepig.2019.01.019,404
14,483,CC(=O)OCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOC(C)=O)C3=O,CO,604.0,641.0,8.0,0.37,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,484
15,97,c1ccc2ccccc2c1,C1CCCCC1,288.73010785,329.72895,132.0,0.325,3.58,"https://doi.org/10.3390/molecules17055108, https://doi.org/10.1016/S1386-1425(02)00207-X",98
16,475,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,499.0,563.0,4.0,0.34,4.544068044,doi:10.1016/j.dyepig.2011.05.004,476
17,441,CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCOC(C)=O,451.0,471.0,3.8,0.5,,doi:10.1016/j.dyepig.2008.12.009,442
18,79,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558.0,573.0,0.82,0.11,,doi/10.1021/ja00455a017,80
19,143,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488.0,597.0,5.52,0.1,3.982723388,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",144
20,162,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,451.0,461.0,1.89,0.72,4.81,https://doi.org/10.1016/j.dyepig.2017.09.003,163
21,347,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,368.0,493.0,,0.0024,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,348
22,473,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,472.0,544.0,4.24,0.43,4.353531559,doi:10.1016/j.dyepig.2011.05.004,474
23,357,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCOCC,433.0,643.0,0.5,0.0039,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,358
24,348,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,376.0,541.0,2.82,0.1112,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,349
25,28,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,450.5,503.8,2.875,0.43,,"DOI: 10.1021/j100248a024, https://doi.org/10.1016/j.cplett.2005.03.070",29
26,289,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(O)CO,,,1.95,0.34,,https://doi.org/10.1016/S0009-2614(02)00784-4,290
27,366,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOC(C)=O,446.0,699.0,0.15,0.0001,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,367
28,148,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,432.0,485.0,,0.83,3.977723605,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",149
29,303,Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC#N,401.0,,0.07,0.0041,3.733197265,https://doi.org/10.1016/0022-2313(92)90006-U,304
30,154,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,Cc1ccccc1,492.0,573.0,,0.06,3.925312091,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",155
31,139,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,473.0,2.5,0.38,4.17,https://doi.org/10.1016/j.dyepig.2018.04.037,140
32,153,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,480.0,555.0,,0.06,3.970811611,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",154
33,110,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0,2.0,0.85,4.65,https://doi.org/10.3390/molecules17055108,111
34,317,Nc1ccccn1,CC#N,,,5.0,0.25,,DOI: 10.1021/j100558a015,318
35,409,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CO,503.0,515.0,,0.68,,https://doi.org/10.1016/j.dyepig.2019.01.019,410
36,350,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,369.0,585.0,6.6,0.0886,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,351
37,482,CCCCCCCCCCN1C(=O)c2cc(NCCCOCCO)c3c4c(cc(NCCCOCCO)c(c24)C1=O)C(=O)N(CCCCCCCCCC)C3=O,CO,604.0,642.0,7.8,0.43,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,483
